#o/p  it       t_pb[ms]       level        PNS_mass[M]        PNS_radius[km]
4  37000  4.098522167684745  6     1.0710307539472064  65.38648357505069
5  39000  5.08374384261894  6     1.1069059587344583  66.39231314858156
6  41000  6.068965517553134  6     1.133110717799746  65.48261181882359
7  44000  7.546798029954426  6     1.1599351256414827  67.01989269823268
8  46000  8.53201970488862  6     1.1842371077384868  73.55181060276503
9  49000  10.009852217289913  6     1.2114680656018142  83.6615210276279
10  51000  10.995073892224108  6     1.1936437512577736  80.1640390516144
11  53000  11.980295567158302  6     1.2175913489348744  84.9050399463538
12  56000  13.458128079559595  6     1.214347728961039  77.15489820075135
13  59000  14.935960591960887  6     1.2650732175306578  78.79878626228691
14  62000  16.413793104362178  6     1.2896082247690948  77.69561612898441
15  65000  17.89162561676347  6     1.2889622607717497  78.01229654599054
16  69000  19.86206896663186  6     1.2902911865487483  79.68502057911807
17  72000  21.339901479033152  6     1.2858540001984853  76.52735135246142
18  76000  23.310344828901542  6     1.3101403261367186  76.1622542811612
19  79000  24.788177341302834  6     1.3247904432904107  76.68707476010118
20  83000  26.758620691171224  6     1.3340997838869464  78.0905881179645
21  86000  28.236453203572516  6     1.3365513249845984  78.0973747904085
22  90000  30.206896553440906  6     1.3477280553944015  78.4004301249193
23  93000  31.6847290658422  6     1.3592000789148029  78.52026163479471
24  95000  32.66995074077639  6     1.3645448007101257  78.49361692810676
25  98000  34.147783253177685  6     1.367764778327173  77.94483594522497
26  101000  35.62561576557898  6     1.3698634551917905  77.60039621611419
27  105000  37.59605911544737  6     1.3809732026011594  78.62243042353568
28  108000  39.07389162784866  6     1.3903484721537156  78.96429377435338
29  112000  41.04433497771705  6     1.3961486888690773  77.62310917000622
30  115000  42.52216749011834  6     1.4036295408890656  77.89902520010195
31  119000  44.49261083998673  6     1.4106092436230135  77.92754131119766
32  122000  45.970443352388024  6     1.4126681289660614  77.00307715978924
33  126000  47.940886702256414  6     1.4209560383145687  76.88810043667242
34  130000  49.911330052124804  6     1.4277310758534398  76.21046928996704
35  133000  51.389162564526096  6     1.4333295596193099  76.20306315967349
36  137000  53.35960591439448  6     1.43544039919798  74.99875812412901
37  140000  54.83743842679577  6     1.4384664793424078  74.25667263982629
38  144000  56.80788177666416  6     1.4495395880549442  75.01028679700765
39  147000  58.28571428906545  6     1.4562088167704206  75.33508227745664
40  151000  60.25615763893384  6     1.4600339898580699  74.3947755397244
41  154000  61.733990151335135  6     1.4619638887225876  73.54915826522935
42  158000  63.704433501203525  6     1.4649168058790587  72.55808776934113
43  162000  65.67487685107191  6     1.4714948583529206  72.29468213233801
44  165000  67.1527093634732  6     1.4747811559923447  71.64154541784559
45  168000  68.6305418758745  6     1.4806156886446915  71.84768361624732
46  172000  70.60098522574289  6     1.4861528982229828  71.56511624085222
47  175000  72.07881773814418  6     1.4898168541258598  71.17033761507838
48  179000  74.04926108801257  6     1.4942559729572884  70.51179004520425
49  182000  75.52709360041386  6     1.4984507853817746  70.35835023697513
50  186000  77.49753695028225  6     1.5080689898313784  71.4298098268603
51  189000  78.97536946268355  6     1.5093268891985017  70.2958612255296
52  193000  80.94581281255194  6     1.5133013991356683  69.55068454240838
53  196000  82.42364532495323  6     1.5161711421224973  69.04005438152961
54  200000  84.39408867482162  6     1.5228027699820819  69.2846049292505
55  203000  85.87192118722291  6     1.5270943598991866  69.23295898571114
56  206000  87.3497536996242  6     1.5315082239171316  69.10408282435903
57  210000  89.32019704949259  6     1.5358287724146755  68.3700380229291
58  213000  90.79802956189388  6     1.539121660313862  67.9471880823082
59  217500  93.01477833049582  6     1.5453197745734575  67.94385612025569
60  220000  94.24630542416357  6     1.5477806488053936  67.62184941797778
61  223000  95.72413793656486  6     1.5525653167745932  67.71329026337942
62  226000  97.20197044896615  6     1.5539383758364955  66.73007708588173
63  228000  98.18719212390035  6     1.5563380888688834  66.6315749635293
64  231000  99.66502463630164  6     1.5600514868201167  66.61220028255204
65  234000  101.14285714870293  6     1.5607563385751233  65.54648655908115
66  236000  102.12807882363713  6     1.56519697552169  65.89675763630237
67  238000  103.11330049857132  6     1.5661693728543171  65.26519696829251
68  241000  104.59113301097261  6     1.57144417901717  65.61913704570202
69  243000  105.57635468590681  6     1.5743851009807597  65.7626139051601
70  243000  105.57635468590681  6     1.5743851009807597  65.7626139051601
71  245000  106.561576360841  6     1.5749213334128518  65.08429707830446
72  247000  107.5467980357752  6     1.576207132374911  64.60959428557877
73  249000  108.53201971070939  6     1.5791841791556562  64.693380609058
74  251000  109.51724138564359  6     1.5819274228087714  64.84863886849689
75  252000  110.00985222311068  6     1.5846432739820768  65.34493585610228
76  254000  110.99507389804488  6     1.5849450088817465  64.65394782478987
77  256000  111.98029557297907  6     1.58641110545421  64.25693963010842
78  257000  112.47290641044617  6     1.5854191242126447  63.533396347966196
79  259000  113.45812808538037  6     1.5891338715729393  63.89921449343012
80  260000  113.95073892284746  6     1.5899136294403962  63.755109591395865
81  262000  114.93596059778166  6     1.5926222614524659  63.85698822185062
82  263000  115.42857143524876  6     1.5938772788477074  63.86975217030454
83  264000  115.92118227271585  6     1.5934835994089767  63.36019133348416
84  265000  116.41379311018295  6     1.5949253808695327  63.41767172574664
85  267000  117.39901478511715  6     1.598216752054993  63.66070598693595
86  268000  117.89162562258424  6     1.6000881345790354  63.83950223868328
87  269000  118.38423646005134  6     1.6012533272072025  63.80807221813141
88  270000  118.87684729751844  6     1.6026837771992952  63.86804196135503
89  271000  119.36945813498554  6     1.6045417649110032  63.99531054423419
90  272000  119.86206897245263  6     1.6049418502851125  63.54100466175273
91  274000  120.84729064738683  6     1.6087194962117446  63.342915614977144
92  274000  120.84729064738683  6     1.6087150770201708  63.34085303090522
93  277000  122.32512315978812  6     1.614887630738793  62.96489314796364
94  279000  123.31034483472231  6     1.619195932136618  62.78807420315477
95  280000  123.80295567218941  6     1.6222743141926543  63.00747736709514
96  282000  124.78817734712361  6     1.6263644168241067  62.81101782710398
97  283000  125.2807881845907  6     1.628088989759812  62.55985727953532
98  285000  126.2660098595249  6     1.6312083532016384  61.93651091423535
99  286000  126.758620696992  6     1.633319063363757  61.856697884581834
100  287000  127.25123153445908  6     1.6351521727371363  61.679519943539844
101  289000  128.2364532093933  6     1.6387476741520273  61.14620171852799
102  290000  128.72906404686037  6     1.6409322925291183  61.02460918142543
103  292000  129.71428572179457  6     1.6469747858404722  61.57476055636245
104  294000  130.69950739672876  6     1.6499702912125072  61.20609269283015
105  296000  131.68472907166296  6     1.6518189239465229  60.85883681901819
106  298000  132.66995074659715  6     1.6531197567071674  60.66951450038983
