#o/p  it       t_pb[ms]       level        PNS_mass[M]        PNS_radius[km]
0  300000  133.65517242153135  5     1.6463602550814969  60.40950103096571
1  304000  135.62561577139974  5     1.6501665638643275  60.19627820665113
2  308000  137.59605912126813  5     1.6520302651338556  59.18647913113748
3  313000  140.05911330860363  5     1.656210354005969  58.62044694705632
4  317000  142.02955665847202  5     1.6611046908031393  58.64021616943841
5  321000  144.0000000083404  5     1.6643941741676387  58.492793552837654
6  325000  145.9704433582088  5     1.668740221600991  58.27475876145498
7  329000  147.9408867080772  5     1.6730314945929599  58.155490514626834
8  333000  149.91133005794558  5     1.6764602826481305  57.79666720489348
9  337000  151.88177340781397  5     1.6805488756769564  57.931430985284535
10  340000  153.35960592021524  5     1.6829824204893968  57.62745148624045
11  344000  155.33004927008363  5     1.686383602933237  57.404211280269905
12  347000  156.80788178248494  5     1.6892061218272616  57.31553369564664
13  350000  158.28571429488622  5     1.6912218750503913  56.92595785851697
14  353000  159.76354680728753  5     1.692006355392905  56.214145922764025
15  356000  161.2413793196888  5     1.6948972509072557  56.18293093103292
16  359000  162.7192118320901  5     1.697270427513763  56.073800568059355
17  362000  164.1970443444914  5     1.69915428240179  55.694307169810045
18  364000  165.18226601942558  5     1.6996494355706133  55.25927795035689
19  367000  166.6600985318269  5     1.7015995010420066  55.0840977249773
20  369000  167.64532020676108  5     1.7031225961048553  54.96330173407908
21  371000  168.63054188169528  5     1.704269782276993  54.747671957411164
22  374000  170.10837439409656  5     1.7054869303091496  54.11117660333601
23  376000  171.09359606903075  5     1.7063325453079257  53.761217017689376
24  378000  172.07881774396495  5     1.7075222657088807  53.68397993351193
25  380000  173.06403941889914  5     1.7096144292802293  53.82669962988575
26  382000  174.04926109383334  5     1.7105430923236054  53.509536855022525
27  384000  175.03448276876753  5     1.712046730578342  53.434411524240595
28  386000  176.01970444370173  5     1.7137074270617882  53.47639562029885
29  388000  177.00492611863592  5     1.7147547587077892  53.16137146260323
30  390000  177.99014779357012  5     1.7173633182407584  53.42670431181016
31  392000  178.9753694685043  5     1.7180098178589873  53.19256021733554
32  394000  179.9605911434385  5     1.7195302519691098  53.14073660985647
33  396000  180.9458128183727  5     1.720337337042559  52.85504607320374
34  398000  181.9310344933069  5     1.7336258421514958  52.70715862375528
35  398000  181.9310344933069  5     1.7336258421519497  52.70715862421694
36  399000  182.42364533077398  5     1.734292807580461  52.6186432149548
37  401000  183.40886700570817  5     1.7354720713820977  52.508634881095205
38  403000  184.39408868064237  5     1.7363482836170783  52.2638744170023
39  405000  185.37931035557656  5     1.7369347320491453  52.00015645891973
40  407000  186.36453203051076  5     1.7383957396073313  52.04247211863527
41  409000  187.34975370544495  5     1.7394098029204004  51.827512246996534
42  411000  188.33497538037915  5     1.7408708346807324  51.85802153263923
44  413000  189.32019705531334  5     1.7427731567308868  51.9118708295176
45  415000  190.30541873024754  5     1.7435851804057527  51.81093864195011
46  417000  191.29064040518173  5     1.7444475587280854  51.48244051801404
47  418000  191.78325124264884  5     1.745151386722741  51.48271565182222
48  420000  192.76847291758304  5     1.7467322874377125  51.40359904718529
49  422000  193.75369459251723  5     1.7482469497909747  51.49076135042698
50  424000  194.73891626745143  5     1.750043983216581  51.61544181007861
51  425000  195.2315271049185  5     1.7505210169672583  51.52276199255253
52  427000  196.2167487798527  5     1.7521764294957596  51.61014236070173
53  429000  197.2019704547869  5     1.754045751791545  52.0455452290299
