#o/p  it       t_pb[ms]       level        ejecta_mass[M]      ejecta_KE[erg]     ejecta_IE[erg]     ejecta_ME[erg]     ejecta_TE[erg]
0  27000  -0.8275862069862288  6     0.0     0.0     0.0     0.0     0.0
1  29000  0.15763546794796593  6     0.0     0.0     0.0     0.0     0.0
2  32000  1.635467980349258  6     0.00022128730474662724     3.3936732953062235e+47     9.657366544127726e+48     3.8808687759267297e+45     1.0000614742434275e+49
3  34000  2.620689655283453  6     0.0     0.0     0.0     0.0     0.0
4  37000  4.098522167684745  6     0.0     0.0     0.0     0.0     0.0
5  39000  5.08374384261894  6     0.0     0.0     0.0     0.0     0.0
6  41000  6.068965517553134  6     0.0     0.0     0.0     0.0     0.0
7  44000  7.546798029954426  6     0.0     0.0     0.0     0.0     0.0
8  46000  8.53201970488862  6     0.0     0.0     0.0     0.0     0.0
9  49000  10.009852217289913  6     0.0     0.0     0.0     0.0     0.0
10  51000  10.995073892224108  6     0.0     0.0     0.0     0.0     0.0
11  53000  11.980295567158302  6     0.0     0.0     0.0     0.0     0.0
12  56000  13.458128079559595  6     0.0     0.0     0.0     0.0     0.0
13  59000  14.935960591960887  6     0.0     0.0     0.0     0.0     0.0
14  62000  16.413793104362178  6     0.0     0.0     0.0     0.0     0.0
15  65000  17.89162561676347  6     0.0     0.0     0.0     0.0     0.0
16  69000  19.86206896663186  6     0.0     0.0     0.0     0.0     0.0
17  72000  21.339901479033152  6     0.0     0.0     0.0     0.0     0.0
18  76000  23.310344828901542  6     0.0     0.0     0.0     0.0     0.0
19  79000  24.788177341302834  6     0.0     0.0     0.0     0.0     0.0
20  83000  26.758620691171224  6     0.0     0.0     0.0     0.0     0.0
21  86000  28.236453203572516  6     0.0     0.0     0.0     0.0     0.0
22  90000  30.206896553440906  6     0.0     0.0     0.0     0.0     0.0
23  93000  31.6847290658422  6     0.0     0.0     0.0     0.0     0.0
24  95000  32.66995074077639  6     0.0     0.0     0.0     0.0     0.0
25  98000  34.147783253177685  6     0.0     0.0     0.0     0.0     0.0
26  101000  35.62561576557898  6     1.3530185053753244e-07     7.07769363284366e+43     1.7303083825161904e+45     2.0597641043081024e+45     3.8608494231527296e+45
27  105000  37.59605911544737  6     5.505521437923956e-06     6.964016741696587e+45     3.9131082808607234e+46     9.179468515395373e+46     1.3788978470425755e+47
28  108000  39.07389162784866  6     1.3079198282370555e-05     1.2262018460622098e+46     7.180306510907087e+46     2.4483605096331112e+47     3.289011345330041e+47
29  112000  41.04433497771705  6     3.4493850851025266e-05     4.756963229046771e+46     2.887462431536306e+47     6.51381760564889e+47     9.876976360089872e+47
30  115000  42.52216749011834  6     7.004361122972458e-05     7.609254819617378e+46     4.953367904493254e+47     1.3583897919049265e+48     1.9298191305504256e+48
31  119000  44.49261083998673  6     0.00012659118472791063     2.1405173067580507e+47     5.997665712339383e+47     2.6901176207771618e+48     3.5039359226869056e+48
32  122000  45.970443352388024  6     0.00014550526343189767     3.499443677575982e+47     4.9204614093922865e+47     3.1961807565378754e+48     4.038171265234702e+48
33  126000  47.940886702256414  6     0.00014671002557088144     3.70259521424409e+47     3.3450214991805705e+47     3.47108268455388e+48     4.175844355896346e+48
34  130000  49.911330052124804  6     0.00014606496492578552     3.355662323588453e+47     2.9994757076919105e+47     3.597435114806684e+48     4.2329489179347204e+48
35  133000  51.389162564526096  6     0.0001672662179634564     3.785854612454376e+47     4.641190448488292e+47     4.12866662174968e+48     4.971371127843947e+48
36  137000  53.35960591439448  6     0.00017834965540220225     3.955321324509579e+47     6.186438923831719e+47     4.46942272268704e+48     5.48359874752117e+48
37  140000  54.83743842679577  6     0.00016899638888086984     3.3111657368847e+47     6.782490010832061e+47     4.2730722399410817e+48     5.2824378147127574e+48
38  144000  56.80788177666416  6     0.00016220577197541793     2.8954599240411885e+47     7.251820536826038e+47     3.7784895328160465e+48     4.793217578902769e+48
39  147000  58.28571428906545  6     0.00017900225391151244     3.8988150168852395e+47     7.779249224020575e+47     3.9021734004446334e+48     5.0699798245352147e+48
40  151000  60.25615763893384  6     0.0002417279934495838     6.785725312957727e+47     1.0426494220758318e+48     5.001994453800045e+48     6.723216407171649e+48
41  154000  61.733990151335135  6     0.0002842190713340159     9.011368935099608e+47     1.1989155804592087e+48     5.978035970321618e+48     8.078088444290788e+48
42  158000  63.704433501203525  6     0.00033604511852058786     1.2041568624663851e+48     1.5447822043023937e+48     7.273902423511401e+48     1.0022841490280179e+49
43  162000  65.67487685107191  6     0.00036759797626896167     1.3624274361586833e+48     1.8106004065126992e+48     8.688205385914011e+48     1.1861233228585393e+49
44  165000  67.1527093634732  6     0.00036994826018872933     1.2836725236456774e+48     1.9745493134102412e+48     9.179639720803351e+48     1.2437861557859269e+49
45  168000  68.6305418758745  6     0.00038852940139259265     1.2757545478918825e+48     2.2911619184727887e+48     9.581268061874623e+48     1.3148184528239295e+49
46  172000  70.60098522574289  6     0.0004322171782096574     1.4494329608984619e+48     2.740886361577297e+48     1.0391085658666129e+49     1.4581404981141888e+49
47  175000  72.07881773814418  6     0.00046108623151863443     1.5294285217650386e+48     3.1139436687633156e+48     1.099644443888388e+49     1.5639816629412234e+49
48  179000  74.04926108801257  6     0.0005396774860893219     2.006989396494248e+48     3.719512287201825e+48     1.204163648185099e+49     1.7768138165547064e+49
49  182000  75.52709360041386  6     0.0006242859546343301     2.62842787012651e+48     4.2492918779049775e+48     1.3105452274580107e+49     1.9983172022611594e+49
50  186000  77.49753695028225  6     0.0008511617645532645     4.003879780030211e+48     5.640350267460123e+48     1.6724120842039388e+49     2.6368350889529723e+49
51  189000  78.97536946268355  6     0.001111484863843762     5.938041592616024e+48     7.413426491728636e+48     2.1313968409334798e+49     3.466543649367946e+49
52  193000  80.94581281255194  6     0.0013343784469259693     7.458634844538535e+48     8.722812771800457e+48     2.6075839294414174e+49     4.225728691075317e+49
53  196000  82.42364532495323  6     0.0014717011511877292     8.31600968574662e+48     9.216016471621012e+48     2.8869258112254206e+49     4.640128426962184e+49
54  200000  84.39408867482162  6     0.001569145669146734     8.399585337544371e+48     9.772066624051275e+48     3.237922993750573e+49     5.055088189910138e+49
55  203000  85.87192118722291  6     0.0017640839136922359     9.395270827733321e+48     1.1085559640972706e+49     3.829877012220175e+49     5.877960059090778e+49
56  206000  87.3497536996242  6     0.00196319982452513     1.0505859491298645e+49     1.2344537389778059e+49     4.402366453943509e+49     6.68740614205118e+49
57  210000  89.32019704949259  6     0.002123096130425391     1.1712839123528186e+49     1.3842839619359273e+49     4.834334079044217e+49     7.389901953332964e+49
58  213000  90.79802956189388  6     0.0022181866532004664     1.2423461429653632e+49     1.4989502142623996e+49     4.962610434280087e+49     7.70390679150785e+49
59  217500  93.01477833049582  6     0.0023261413100618923     1.308027430350156e+49     1.6091717845644512e+49     5.17868870032658e+49     8.095887915241187e+49
60  220000  94.24630542416357  6     0.0025203809295563325     1.392945154421635e+49     1.7216297589018525e+49     5.553766856694877e+49     8.668341770018364e+49
61  223000  95.72413793656486  6     0.002779663039049334     1.6088201324717298e+49     1.8627692084136639e+49     6.010901529411932e+49     9.482490870297326e+49
62  226000  97.20197044896615  6     0.003040427042298083     1.856547877300525e+49     2.0017241932499927e+49     6.468801873262133e+49     1.032707394381265e+50
63  228000  98.18719212390035  6     0.0032303592554086924     2.0477307156423436e+49     2.1257606843587802e+49     6.782217255700757e+49     1.095570865570188e+50
64  231000  99.66502463630164  6     0.003656911851993117     2.523096806149556e+49     2.400914566630591e+49     7.301825666470819e+49     1.2225837039250967e+50
65  234000  101.14285714870293  6     0.0039011234728405834     2.7948740612462795e+49     2.5954333839189247e+49     7.586994923900375e+49     1.297730236906558e+50
66  236000  102.12807882363713  6     0.003975259817492566     2.937518493087692e+49     2.5934726730783783e+49     7.663540361819136e+49     1.3194531527985205e+50
