#o/p  it       t_pb[ms]       level        ejecta_mass[M]      ejecta_KE[erg]     ejecta_IE[erg]     ejecta_ME[erg]     ejecta_TE[erg]
0  27000  -0.8275862069862288  5     0.0     0.0     0.0     0.0     0.0
1  29000  0.15763546794796593  5     0.0     0.0     0.0     0.0     0.0
2  32000  1.635467980349258  5     0.0     0.0     0.0     0.0     0.0
3  34000  2.620689655283453  5     0.0     0.0     0.0     0.0     0.0
4  37000  4.098522167684745  5     0.0     0.0     0.0     0.0     0.0
5  39000  5.08374384261894  5     0.0     0.0     0.0     0.0     0.0
6  41000  6.068965517553134  5     0.0     0.0     0.0     0.0     0.0
7  44000  7.546798029954426  5     0.0     0.0     0.0     0.0     0.0
8  46000  8.53201970488862  5     0.0     0.0     0.0     0.0     0.0
9  49000  10.009852217289913  5     0.0     0.0     0.0     0.0     0.0
10  51000  10.995073892224108  5     0.0     0.0     0.0     0.0     0.0
11  53000  11.980295567158302  5     0.0     0.0     0.0     0.0     0.0
12  56000  13.458128079559595  5     0.0     0.0     0.0     0.0     0.0
13  59000  14.935960591960887  5     0.0     0.0     0.0     0.0     0.0
14  62000  16.413793104362178  5     0.0     0.0     0.0     0.0     0.0
15  65000  17.89162561676347  5     0.0     0.0     0.0     0.0     0.0
16  69000  19.86206896663186  5     0.0     0.0     0.0     0.0     0.0
17  72000  21.339901479033152  5     0.0     0.0     0.0     0.0     0.0
18  76000  23.310344828901542  5     0.0     0.0     0.0     0.0     0.0
19  79000  24.788177341302834  5     0.0     0.0     0.0     0.0     0.0
20  83000  26.758620691171224  5     0.0     0.0     0.0     0.0     0.0
21  86000  28.236453203572516  5     0.0     0.0     0.0     0.0     0.0
22  90000  30.206896553440906  5     0.0     0.0     0.0     0.0     0.0
23  93000  31.6847290658422  5     0.0     0.0     0.0     0.0     0.0
24  95000  32.66995074077639  5     0.0     0.0     0.0     0.0     0.0
25  98000  34.147783253177685  5     0.0     0.0     0.0     0.0     0.0
26  101000  35.62561576557898  5     0.0     0.0     0.0     0.0     0.0
27  105000  37.59605911544737  5     2.4760411881928203e-06     2.429303519011106e+45     1.82187984190426e+46     4.004424233294186e+46     6.069234427099556e+46
28  108000  39.07389162784866  5     1.1534049961562233e-05     7.985689512268884e+45     6.354400688747802e+46     2.044341832802477e+47     2.759638796799946e+47
29  112000  41.04433497771705  5     2.7820219558059543e-05     3.3859043937349036e+46     2.3167810027836293e+47     5.141508005643436e+47     7.796879447800556e+47
30  115000  42.52216749011834  5     6.17618807509947e-05     6.134055050762028e+46     4.3886797789795966e+47     1.175472296223705e+48     1.675680824629285e+48
31  119000  44.49261083998673  5     0.00012082418829460073     1.953439530815881e+47     5.716131249663578e+47     2.5212018903485432e+48     3.288158968396489e+48
32  122000  45.970443352388024  5     0.00013999220874250166     3.2813934608555455e+47     4.692677702138412e+47     3.045088132308116e+48     3.8424952486075114e+48
33  126000  47.940886702256414  5     0.0001424104933747451     3.5280492862710537e+47     3.189742398620478e+47     3.342114923679029e+48     4.0138940921681826e+48
34  130000  49.911330052124804  5     0.00013968540183551418     3.017909061124493e+47     2.767730430269323e+47     3.450808967332839e+48     4.029372916472221e+48
35  133000  51.389162564526096  5     0.00016025743587083402     3.4559958994525744e+47     4.304754770027496e+47     3.9501007343735925e+48     4.726175801321599e+48
36  137000  53.35960591439448  5     0.00017044348265777076     3.593237626929765e+47     5.7794146797960314e+47     4.282179235445105e+48     5.219444466117685e+48
37  140000  54.83743842679577  5     0.0001623264748842133     2.9945566063045925e+47     6.373530348419694e+47     4.115287973297085e+48     5.0520966687695136e+48
38  144000  56.80788177666416  5     0.00015619663400170204     2.6336840095798385e+47     6.896231875028131e+47     3.6476580676562844e+48     4.6006496561170814e+48
39  147000  58.28571428906545  5     0.00017110929488468526     3.4030237597361445e+47     7.367666827680888e+47     3.7506042492706197e+48     4.827673308012323e+48
40  151000  60.25615763893384  5     0.00022945690879683535     6.049265600383765e+47     9.84215097634146e+47     4.7603694126736e+48     6.349511070346122e+48
41  154000  61.733990151335135  5     0.00027507201081722164     8.295628391721834e+47     1.1684619424611128e+48     5.765294503274872e+48     7.763319284908169e+48
42  158000  63.704433501203525  5     0.00032518214902678243     1.1264899245575346e+48     1.4932955656266935e+48     7.02898976596041e+48     9.648775256144638e+48
43  162000  65.67487685107191  5     0.00035885346955832485     1.291617878239141e+48     1.7655875108429466e+48     8.460754457886591e+48     1.1517959846968678e+49
44  165000  67.1527093634732  5     0.0003607439881912899     1.2228680685044883e+48     1.9170132531779454e+48     8.945406234634876e+48     1.208528755631731e+49
45  168000  68.6305418758745  5     0.0003802106944600297     1.2045877668946506e+48     2.241051776127023e+48     9.36311360007716e+48     1.2808753143098834e+49
46  172000  70.60098522574289  5     0.00041358606134991627     1.2986526096081252e+48     2.642818260829661e+48     1.0022066007734396e+49     1.3963536878172183e+49
47  175000  72.07881773814418  5     0.0004412166254148886     1.3707467903937441e+48     2.997347761130545e+48     1.0600385614180134e+49     1.4968480165704422e+49
48  179000  74.04926108801257  5     0.0005129745091320268     1.7890020677228307e+48     3.567357407447166e+48     1.1560902694035257e+49     1.6917262169205252e+49
49  182000  75.52709360041386  5     0.0005952066052709435     2.4054547189876555e+48     4.062783079094727e+48     1.2572567863853671e+49     1.9040805661936054e+49
50  186000  77.49753695028225  5     0.00081600807139166     3.761366881678719e+48     5.4082371609069295e+48     1.602453696471786e+49     2.5194141007303506e+49
51  189000  78.97536946268355  5     0.001071382916473344     5.624313725714188e+48     7.147388331503931e+48     2.0518894816778867e+49     3.3290596873996984e+49
52  193000  80.94581281255194  5     0.001288267501393127     7.012200420839965e+48     8.439693445779817e+48     2.5181543903590677e+49     4.063343777021046e+49
53  196000  82.42364532495323  5     0.0014198454512813002     7.852573539020712e+48     8.90618478437734e+48     2.788744141425716e+49     4.4646199737655214e+49
54  200000  84.39408867482162  5     0.001522538061672622     7.955620554148387e+48     9.507427804447496e+48     3.147179521451494e+49     4.893484357311082e+49
55  203000  85.87192118722291  5     0.0017114264029945805     8.905030527198625e+48     1.0783196251420633e+49     3.72509503858582e+49     5.693917716447746e+49
56  206000  87.3497536996242  5     0.0019004028278394804     9.934212452350463e+48     1.1977427149489e+49     4.286013238488678e+49     6.477177198672625e+49
57  210000  89.32019704949259  5     0.0020675619809834367     1.1186161906620728e+49     1.3505651692233452e+49     4.727348075970684e+49     7.196529435856102e+49
58  213000  90.79802956189388  5     0.0021554605701121403     1.17744444877511e+49     1.4604489471188376e+49     4.850093013368063e+49     7.48798640926201e+49
59  217500  93.01477833049582  5     0.0022575034439508714     1.2291569355615764e+49     1.5676020961470893e+49     5.059797314168099e+49     7.856556345876765e+49
60  220000  94.24630542416357  5     0.0024350112475153645     1.3011536815961306e+49     1.667408379660459e+49     5.41137783410983e+49     8.37993989536642e+49
61  223000  95.72413793656486  5     0.0027066605895559063     1.5258882968885466e+49     1.8232829604081668e+49     5.87512074605442e+49     9.224292003351133e+49
62  226000  97.20197044896615  5     0.00295156232820612     1.756715711865625e+49     1.9538283681732157e+49     6.314052101666577e+49     1.0024596181705418e+50
