#o/p  it       t_pb[ms]       level        ejecta_mass[M]      ejecta_KE[erg]     ejecta_IE[erg]     ejecta_ME[erg]     ejecta_TE[erg]
0  300000  133.65517242153135  5     0.00560963921316042     3.155786797012683e+49     2.6460403141578494e+49     1.0058839656685627e+50     1.5860666767856159e+50
1  304000  135.62561577139974  5     0.0053859206798398266     2.892846912746976e+49     2.4812367016497196e+49     9.756991476938371e+49     1.5131075091335067e+50
2  308000  137.59605912126813  5     0.005401107867946209     2.847172770992544e+49     2.517868257848485e+49     9.778440365434184e+49     1.5143481394275212e+50
3  313000  140.05911330860363  5     0.005538327473468954     2.949041168441719e+49     2.545178741715827e+49     9.890915331922382e+49     1.538513524207993e+50
4  317000  142.02955665847202  5     0.005693426061066964     3.087982693441335e+49     2.5362226360931525e+49     1.0056559351052497e+50     1.5680764680586985e+50
5  321000  144.0000000083404  5     0.005846150480572372     3.1835390148574826e+49     2.6501347340017093e+49     1.0366825555934498e+50     1.620049930479369e+50
6  325000  145.9704433582088  5     0.005938719305608066     3.196443168404837e+49     2.7466957352454467e+49     1.0577217973662455e+50     1.6520356877312739e+50
7  329000  147.9408867080772  5     0.006154175986464291     3.420802986748501e+49     2.904198746860809e+49     1.0838073238945932e+50     1.7163074972555242e+50
8  333000  149.91133005794558  5     0.006431744415771967     3.8065275303830553e+49     3.094860013556921e+49     1.1205371950018891e+50     1.8106759493958867e+50
9  337000  151.88177340781397  5     0.006625963629535795     4.003724679542065e+49     3.2140932695097906e+49     1.144890901210781e+50     1.8666726961159664e+50
10  340000  153.35960592021524  5     0.006745895552938989     4.13684036811239e+49     3.2751483699219275e+49     1.1624403424355925e+50     1.9036392162390244e+50
11  344000  155.33004927008363  5     0.006861780105653945     4.225712011749486e+49     3.3978620186771295e+49     1.1734547742835956e+50     1.9358121773262574e+50
12  347000  156.80788178248494  5     0.006895057925487789     4.152819835127486e+49     3.4539195849393785e+49     1.1673452277121445e+50     1.928019169718831e+50
13  350000  158.28571429488622  5     0.006906181703195989     4.0538573446332454e+49     3.4738988121144867e+49     1.1613668952077363e+50     1.9141425108825093e+50
14  353000  159.76354680728753  5     0.007024895780216292     4.1290724446638974e+49     3.592809425000994e+49     1.1648349896486454e+50     1.9370231766151344e+50
15  356000  161.2413793196888  5     0.007265131546029498     4.2482179135993774e+49     3.7482693224824214e+49     1.1758164482204788e+50     1.9754651718286585e+50
16  359000  162.7192118320901  5     0.007108452442995992     4.1674838492169183e+49     3.7156133778910757e+49     1.1691450588995293e+50     1.9574547816103285e+50
17  362000  164.1970443444914  5     0.007277100204557705     4.2128275132163043e+49     3.809894224567489e+49     1.174097366982712e+50     1.976369540761091e+50
