#o/p  it       t_pb[ms]       level   shock +x[km]   shock -x[km]  shock +y[km]   shock -y[km]  shock +z[km]   shock -z[km]   max x[km]   max y[km]    max z[km]   max r[km]
0    300000     133.655          5         463.778         310.17         372.204          366.296         694.19         723.73       463.778         372.204         723.73         730.976
0    301000     134.148          5         466.732         313.124         375.158          366.296         703.052         729.638       466.732         375.158         729.638         736.05
0    302000     134.64          5         469.686         316.078         381.066          369.25         708.96         735.546       469.686         381.066         735.546         741.289
0    303000     135.133          5         472.64         319.032         384.02          369.25         714.868         738.5       472.64         384.02         738.5         746.947
1    304000     135.626          5         475.594         319.032         389.928          369.25         723.73         744.408       475.594         389.928         744.408         752.586
1    305000     136.118          5         475.594         321.986         392.882          372.204         729.638         750.316       475.594         392.882         750.316         758.051
1    306000     136.611          5         478.548         324.94         398.79          375.158         735.546         753.27       478.548         398.79         753.27         763.648
1    307000     137.103          5         481.502         327.894         401.744          378.112         741.454         759.178       481.502         401.744         759.178         770.043
1    308000     137.596          5         484.456         327.894         407.652          381.066         750.316         768.04       484.456         407.652         768.04         777.11
2    308000     137.596          5         484.456         327.894         407.652          381.066         750.316         768.04       484.456         407.652         768.04         777.11
2    309000     138.089          5         484.456         330.848         410.606          384.02         756.224         773.948       484.456         410.606         773.948         784.514
2    310000     138.581          5         487.41         333.802         416.514          386.974         762.132         779.856       487.41         416.514         779.856         791.655
2    311000     139.074          5         490.364         333.802         422.422          389.928         768.04         788.718       490.364         422.422         788.718         799.034
2    312000     139.567          5         493.318         336.756         425.376          392.882         773.948         794.626       493.318         425.376         794.626         805.928
3    313000     140.059          5         496.272         339.71         431.284          395.836         779.856         800.534       496.272         431.284         800.534         812.892
3    314000     140.552          5         499.226         339.71         437.192          398.79         788.718         809.396       499.226         437.192         809.396         819.798
3    315000     141.044          5         499.226         342.664         440.146          398.79         794.626         815.304       499.226         440.146         815.304         826.766
3    316000     141.537          5         502.18         345.618         446.054          401.744         800.534         824.166       502.18         446.054         824.166         833.745
4    317000     142.03          5         505.134         345.618         451.962          404.698         806.442         833.028       505.134         451.962         833.028         840.796
4    318000     142.522          5         508.088         348.572         454.916          407.652         812.35         841.89       508.088         454.916         841.89         848.174
4    319000     143.015          5         508.088         351.526         460.824          407.652         815.304         850.752       508.088         460.824         850.752         855.09
4    320000     143.507          5         511.042         354.48         463.778          410.606         821.212         862.568       511.042         463.778         862.568         863.685
5    321000     144.0          5         513.996         357.434         469.686          413.56         827.12         871.43       513.996         469.686         871.43         873.64
5    322000     144.493          5         516.95         360.388         472.64          413.56         833.028         880.292       516.95         472.64         880.292         883.187
5    323000     144.985          5         516.95         363.342         478.548          416.514         838.936         892.108       516.95         478.548         892.108         893.755
5    324000     145.478          5         519.904         366.296         484.456          416.514         844.844         900.97       519.904         484.456         900.97         903.388
6    325000     145.97          5         519.904         369.25         487.41          419.468         847.798         909.832       519.904         487.41         909.832         912.729
6    326000     146.463          5         522.858         372.204         493.318          419.468         853.706         918.694       522.858         493.318         918.694         921.918
6    327000     146.956          5         525.812         375.158         499.226          422.422         859.614         927.556       525.812         499.226         927.556         931.096
6    328000     147.448          5         525.812         378.112         502.18          422.422         862.568         936.418       525.812         502.18         936.418         940.236
7    329000     147.941          5         525.812         381.066         508.088          425.376         868.476         945.28       525.812         508.088         945.28         949.296
7    330000     148.433          5         528.766         384.02         511.042          431.284         874.384         954.142       528.766         511.042         954.142         958.253
7    331000     148.926          5         528.766         386.974         516.95          437.192         877.338         963.004       528.766         516.95         963.004         967.078
7    332000     149.419          5         531.72         389.928         519.904          440.146         883.246         971.866       531.72         519.904         971.866         976.041
8    333000     149.911          5         531.72         392.882         522.858          446.054         886.2         980.728       531.72         522.858         980.728         984.866
8    334000     150.404          5         531.72         395.836         528.766          451.962         892.108         989.59       531.72         528.766         989.59         993.612
8    335000     150.897          5         531.72         398.79         534.674          457.87         895.062         998.452       531.72         534.674         998.452         1002.225
8    336000     151.389          5         534.674         398.79         537.628          460.824         900.97         1007.314       534.674         537.628         1007.314         1010.851
9    337000     151.882          5         534.674         401.744         543.536          466.732         903.924         1016.176       534.674         543.536         1016.176         1019.306
9    338000     152.374          5         534.674         404.698         549.444          472.64         909.832         1025.038       534.674         549.444         1025.038         1027.661
9    339000     152.867          5         534.674         407.652         552.398          475.594         912.786         1033.9       534.674         552.398         1033.9         1036.37
10    340000     153.36          5         534.674         410.606         558.306          481.502         918.694         1042.762       534.674         558.306         1042.762         1045.057
10    341000     153.852          5         540.582         410.606         564.214          487.41         921.648         1051.624       540.582         564.214         1051.624         1053.634
10    342000     154.345          5         546.49         413.56         567.168          490.364         927.556         1060.486       546.49         567.168         1060.486         1061.773
10    343000     154.837          5         552.398         416.514         573.076          496.272         930.51         1066.394       552.398         573.076         1066.394         1069.695
11    344000     155.33          5         558.306         419.468         578.984          499.226         936.418         1075.256       558.306         578.984         1075.256         1078.081
11    345000     155.823          5         564.214         422.422         581.938          505.134         939.372         1084.118       564.214         581.938         1084.118         1086.598
11    346000     156.315          5         570.122         425.376         587.846          508.088         945.28         1092.98       570.122         587.846         1092.98         1095.03
12    347000     156.808          5         576.03         431.284         590.8          513.996         948.234         1098.888       576.03         590.8         1098.888         1102.713
12    348000     157.3          5         581.938         434.238         596.708          516.95         954.142         1107.75       581.938         596.708         1107.75         1111.289
12    349000     157.793          5         584.892         437.192         599.662          522.858         957.096         1116.612       584.892         599.662         1116.612         1119.858
13    350000     158.286          5         590.8         440.146         602.616          525.812         960.05         1125.474       590.8         602.616         1125.474         1128.513
13    351000     158.778          5         596.708         443.1         608.524          528.766         965.958         1134.336       596.708         608.524         1134.336         1137.121
13    352000     159.271          5         602.616         449.008         611.478          534.674         968.912         1143.198       602.616         611.478         1143.198         1145.962
14    353000     159.764          5         605.57         451.962         614.432          537.628         971.866         1152.06       605.57         614.432         1152.06         1155.275
14    354000     160.256          5         611.478         457.87         620.34          540.582         977.774         1163.876       611.478         620.34         1163.876         1165.412
14    355000     160.749          5         617.386         460.824         623.294          546.49         980.728         1172.738       617.386         623.294         1172.738         1175.106
15    356000     161.241          5         620.34         466.732         629.202          549.444         983.682         1181.6       620.34         629.202         1181.6         1184.495
15    357000     161.734          5         626.248         472.64         632.156          552.398         986.636         1193.416       626.248         632.156         1193.416         1194.476
15    358000     162.227          5         632.156         475.594         638.064          555.352         992.544         1202.278       632.156         638.064         1202.278         1204.164
16    359000     162.719          5         635.11         481.502         641.018          561.26         995.498         1211.14       635.11         641.018         1211.14         1213.62
16    360000     163.212          5         641.018         484.456         646.926          564.214         998.452         1220.002       641.018         646.926         1220.002         1223.02
16    361000     163.704          5         643.972         487.41         652.834          567.168         1001.406         1231.818       643.972         652.834         1231.818         1233.068
17    362000     164.197          5         649.88         493.318         655.788          573.076         1004.36         1240.68       649.88         655.788         1240.68         1242.823
17    363000     164.69          5         652.834         496.272         661.696          576.03         1007.314         1249.542       652.834         661.696         1249.542         1252.322
18    364000     165.182          5         658.742         502.18         664.65          581.938         1010.268         1258.404       658.742         664.65         1258.404         1261.866
18    365000     165.675          5         661.696         508.088         670.558          584.892         1016.176         1267.266       661.696         670.558         1267.266         1271.555
18    366000     166.167          5         667.604         513.996         673.512          587.846         1019.13         1276.128       667.604         673.512         1276.128         1281.508
19    367000     166.66          5         670.558         516.95         676.466          593.754         1022.084         1287.944       670.558         676.466         1287.944         1291.591
19    368000     167.153          5         673.512         522.858         682.374          596.708         1025.038         1296.806       673.512         682.374         1296.806         1301.535
20    369000     167.645          5         679.42         528.766         685.328          599.662         1027.992         1305.668       679.42         685.328         1305.668         1311.383
20    370000     168.138          5         682.374         534.674         691.236          605.57         1030.946         1314.53       682.374         691.236         1314.53         1320.848
21    371000     168.631          5         688.282         540.582         694.19          608.524         1033.9         1323.392       688.282         694.19         1323.392         1330.084
21    372000     169.123          5         691.236         546.49         697.144          611.478         1036.854         1332.254       691.236         697.144         1332.254         1339.163
21    373000     169.616          5         694.19         549.444         703.052          614.432         1042.762         1344.07       694.19         703.052         1344.07         1348.028
22    374000     170.108          5         700.098         555.352         706.006          617.386         1048.67         1352.932       700.098         706.006         1352.932         1358.304
